name	unique reads 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (mult. map. adj.)	PM180626-180628-190531_Brain_S32(lib)	180626-180628-190531_Brain_S32 (total)	coordinateString 180626-180628-190531_Brain_S32	180626-180628-190531_Brain_S32 (lib)	180626-180628-190531_Brain_S32 (total)
hsa-miR-150-5p	48	1741	1741	189.71	135.18	19:hsa;hsa-mir-150,49500800,49500821,-	189.7109126053803	135.18369608531
hsa-miR-140-5p	46	1720	1720	187.42	133.55	16:hsa;hsa-mir-140,69933103,69933124,+	187.42261325746932	133.55310583959402
hsa-miR-138-5p	56	1713	1024.5	186.66	133.01	16:hsa;hsa-mir-138-2,56858527,56858549,+	111.63631818737053	79.54950984457214
hsa-miR-153-3p	56	1704	852	185.68	132.31	7:hsa;hsa-mir-153-2,157574388,157574409,-	92.8395735438162	66.15537568333379
hsa-miR-153-3p	56	1704	852	185.68	132.31	2:hsa;hsa-mir-153-1,219294164,219294185,-	92.8395735438162	66.15537568333379
hsa-miR-181a-2-3p	55	1689	1689	184.04	131.15	9:hsa;hsa-mir-181a-2,124692518,124692539,+	184.04464755341027	131.14604404829902
hsa-miR-410-3p	42	1687	1687	183.83	130.99	14:hsa;hsa-mir-410,101065961,101065981,+	183.82671428218066	130.9907497391832
hsa-miR-454-3p	47	1661	1661	180.99	128.97	17:hsa;hsa-mir-454,59137821,59137843,-	180.99358175619565	128.97192372067772
hsa-miR-331-3p	49	1632	1632	177.83	126.72	12:hsa;hsa-mir-331,95308480,95308500,+	177.83354932336624	126.72015623849852
hsa-let-7a-3p	45	1615	809.83	175.98	125.4	9:hsa;hsa-let-7a-1,94176013,94176033,+	88.24481374205847	62.881253999475526
hsa-miR-145-3p	51	1614	1614	175.87	125.32	5:hsa;hsa-mir-145,149430699,149430720,+	175.8721498822997	125.32250745645625
hsa-miR-200a-3p	46	1611	1611	175.55	125.09	1:hsa;hsa-mir-200a,1167916,1167937,+	175.54524997545528	125.08956599278254
hsa-let-7a-3p	44	1610	804.83	175.44	125.01	22:hsa;hsa-let-7a-3,46112800,46112820,+	87.69998056398444	62.493018226686004
hsa-miR-324-3p	27	1582	1582	172.39	122.84	17:hsa;hsa-mir-324,7223346,7223368,-	172.38521754262584	122.83779851060335
hsa-miR-335-3p	30	1550	1550	168.9	120.35	7:hsa;hsa-mir-335,130496162,130496183,+	168.898285202952	120.35308956475043
hsa-miR-152-3p	51	1495	1495	162.91	116.08	17:hsa;hsa-mir-152,48037214,48037234,-	162.90512024413758	116.08249606406574
hsa-miR-628-3p	36	1488	1488	162.14	115.54	15:hsa;hsa-mir-628,55373000,55373020,-	162.14235379483392	115.53896598216042
hsa-miR-654-3p	50	1467	1467	159.85	113.91	14:hsa;hsa-mir-654,101040269,101040290,+	159.85405444692296	113.90837573644444
hsa-miR-1249-3p	67	1466	1466	159.75	113.83	22:hsa;hsa-mir-1249,45200994,45201015,-	159.74508781130814	113.83072858188653
hsa-miR-181a-3p	38	1450	1450	158	112.59	1:hsa;hsa-mir-181a-1,198859107,198859128,-	158.00162164147122	112.58837410896008
hsa-miR-494-3p	38	1441	1441	157.02	111.89	14:hsa;hsa-mir-494,101029681,101029702,+	157.02092192093795	111.88954971793895
hsa-miR-330-5p	52	1441	1441	157.02	111.89	19:hsa;hsa-mir-330,45639011,45639032,-	157.02092192093795	111.88954971793895
hsa-miR-125b-1-3p	48	1402	1402	152.77	108.86	11:hsa;hsa-mir-125b-1,122099811,122099832,-	152.77122313196045	108.86131069018072
hsa-miR-760	48	1381	1381	150.48	107.23	1:hsa;hsa-mir-760,93846880,93846899,+	150.4829237840495	107.23072044446474
hsa-let-7b-3p	41	1351	1351	147.21	104.9	22:hsa;hsa-let-7b,46113745,46113766,+	147.21392471560526	104.90130580772764
hsa-miR-199a-3p	39	1345	448.33	146.56	104.44	19:hsa;hsa-mir-199a-1,10817472,10817493,-	48.853374967305456	34.811807626793396
hsa-miR-199b-3p	39	1345	448.33	146.56	104.44	9:hsa;hsa-mir-199b,128244785,128244806,-	48.853374967305456	34.811807626793396
hsa-miR-199a-3p	39	1345	448.33	146.56	104.44	1:hsa;hsa-mir-199a-2,172144604,172144625,-	48.853374967305456	34.811807626793396
hsa-miR-487a-3p	34	1344	1344	146.45	104.36	14:hsa;hsa-mir-487a,101052494,101052515,+	146.4511582663016	104.35777572582231
hsa-miR-9985	15	1314	463.83	143.18	102.03	Y:hsa;hsa-mir-9985,4606140,4606158,+	50.54235781933499	36.015338522440906
hsa-miR-106b-5p	46	1297	1297	141.33	100.71	7:hsa;hsa-mir-106b,100094004,100094024,-	141.32972639240563	100.70835946160085
hsa-miR-339-3p	50	1288	1288	140.35	100.01	7:hsa;hsa-mir-339,1022982,1023004,-	140.34902667187237	100.00953507057972
hsa-miR-320c	31	1279	283.22	139.37	99.31	18:hsa;hsa-mir-320c-2,24321716,24321735,+	30.861945649818665	21.99152291257346
hsa-miR-129-2-3p	35	1230	1203.5	134.03	95.51	11:hsa;hsa-mir-129-2,43581450,43581471,+	131.14134596242113	93.44835051043687
hsa-miR-383-5p	36	1228	1228	133.81	95.35	8:hsa;hsa-mir-383,14853444,14853465,-	133.8110285349839	95.3507057971055
hsa-miR-346	48	1228	1228	133.81	95.35	10:hsa;hsa-mir-346,86264713,86264735,-	133.8110285349839	95.3507057971055
hsa-miR-505-3p	57	1213	1213	132.18	94.19	X:hsa;hsa-mir-505,139924198,139924219,-	132.1765290007618	94.18599847873695
hsa-miR-194-5p	34	1208	926	131.63	93.8	11:hsa;hsa-mir-194-2,64891369,64891390,-	100.90310457931197	71.90126512061865
hsa-miR-1260a	5	1207	745.5	131.52	93.72	14:hsa;hsa-mir-1260a,77266231,77266248,+	81.23462685083918	57.885953722917066
hsa-miR-539-5p	38	1200	1200	130.76	93.18	14:hsa;hsa-mir-539,101047329,101047350,+	130.75996273776929	93.17658546948421
hsa-miR-497-5p	42	1182	1182	128.8	91.78	17:hsa;hsa-mir-497,7017934,7017954,-	128.79856329670275	91.77893668744194
hsa-miR-320c	25	1177	217.22	128.25	91.39	18:hsa;hsa-mir-320c-1,21683559,21683578,+	23.670147699241348	16.866810711751825
hsa-miR-425-3p	53	1175	1175	128.04	91.24	3:hsa;hsa-mir-425,49020202,49020223,-	128.0357968473991	91.23540660553661
hsa-miR-369-5p	26	1170	1170	127.49	90.85	14:hsa;hsa-mir-369,101065606,101065627,+	127.49096366932505	90.8471708327471
hsa-miR-532-5p	37	1154	1154	125.75	89.6	X:hsa;hsa-mir-532,50003167,50003188,+	125.74749749948813	89.60481635982065
hsa-miR-3615	52	1153	1153	125.64	89.53	17:hsa;hsa-mir-3615,74748663,74748683,+	125.63853086387333	89.52716920526274
hsa-miR-134-5p	51	1127	1127	122.81	87.51	14:hsa;hsa-mir-134,101054694,101054715,+	122.80539833788832	87.50834318675724
hsa-miR-345-5p	41	1081	1081	117.79	83.94	14:hsa;hsa-mir-345,100307876,100307897,+	117.79293309960717	83.93657407709368
hsa-miR-380-3p	25	1048	1048	114.2	81.37	14:hsa;hsa-mir-380,101025056,101025077,+	114.19703412431852	81.37421797668287
hsa-miR-539-3p	37	1040	1040	113.33	80.75	14:hsa;hsa-mir-539,101047369,101047390,+	113.32530103940005	80.75304074021965
hsa-miR-376c-3p	25	1039	1039	113.22	80.68	14:hsa;hsa-mir-376c,101039732,101039752,+	113.21633440378524	80.67539358566174
hsa-miR-212-3p	45	1029	1029	112.13	79.9	17:hsa;hsa-mir-212,2050341,2050361,-	112.12666804763717	79.89892204008271
hsa-miR-1260b	5	1015	553.5	110.6	78.81	11:hsa;hsa-mir-1260b,96341447,96341465,+	60.31303281279609	42.97770004779959
hsa-miR-708-5p	40	1001	1001	109.08	77.72	11:hsa;hsa-mir-708,79402032,79402054,-	109.07560225042255	77.72480171246141
hsa-miR-212-5p	23	958	958	104.39	74.39	17:hsa;hsa-mir-212,2050301,2050323,-	104.39003691898581	74.38597406647156
hsa-miR-668-3p	35	932	932	101.56	72.37	14:hsa;hsa-mir-668,101055300,101055322,+	101.55690439300082	72.36714804796607
hsa-miR-488-3p	34	926	926	100.9	71.9	1:hsa;hsa-mir-488,177029414,177029434,-	100.90310457931197	71.90126512061865
hsa-miR-22-5p	18	905	905	98.61	70.27	17:hsa;hsa-mir-22,1713917,1713938,-	98.61480523140101	70.27067487490267
hsa-miR-182-5p	29	905	905	98.61	70.27	7:hsa;hsa-mir-182,129770405,129770428,-	98.61480523140101	70.27067487490267
hsa-miR-192-5p	37	890	890	96.98	69.11	11:hsa;hsa-mir-192,64891160,64891180,-	96.98030569717889	69.10596755653413
hsa-miR-500a-3p	38	887	818.33	96.65	68.87	X:hsa;hsa-mir-500a,50008482,50008503,+	89.17103014478434	63.541254813217705
hsa-miR-20a-5p	31	863	861.67	94.04	67.01	13:hsa;hsa-mir-20a,91351072,91351094,+	93.89291768809268	66.9059648440602
hsa-miR-935	33	852	852	92.84	66.16	19:hsa;hsa-mir-935,53982362,53982384,+	92.8395735438162	66.15537568333379
hsa-miR-660-5p	17	851	851	92.73	66.08	X:hsa;hsa-mir-660,50013256,50013277,+	92.7306069082014	66.07772852877588
hsa-miR-155-5p	38	844	844	91.97	65.53	21:hsa;hsa-mir-155,25573983,25574006,+	91.96784045889774	65.53419844687056
hsa-miR-324-5p	32	844	844	91.97	65.53	17:hsa;hsa-mir-324,7223312,7223333,-	91.96784045889774	65.53419844687056
hsa-miR-12136	18	836	418	91.1	64.91	1:hsa;hsa-mir-12136,632615,632632,-	45.54805368698963	32.45651060520366
hsa-miR-12136	18	836	418	91.1	64.91	MT:hsa;hsa-mir-12136,7444,7461,-	45.54805368698963	32.45651060520366
hsa-miR-429	26	831	831	90.55	64.52	1:hsa;hsa-mir-429,1169055,1169076,+	90.55127419590524	64.52478543761781
hsa-miR-664a-3p	29	816	816	88.92	63.36	1:hsa;hsa-mir-664a,220200586,220200608,-	88.91677466168312	63.36007811924926
hsa-miR-501-3p	28	815	813.83	88.81	63.28	X:hsa;hsa-mir-501,50009772,50009793,+	88.6806802845177	63.19184261770714
hsa-miR-655-3p	25	786	786	85.65	61.03	14:hsa;hsa-mir-655,101049610,101049631,+	85.64777559323889	61.03066348251215
hsa-miR-32-5p	27	773	773	84.23	60.02	9:hsa;hsa-mir-32,109046234,109046255,-	84.23120933024639	60.02125047325941
hsa-miR-130b-5p	21	771	771	84.01	59.87	22:hsa;hsa-mir-130b,21653316,21653336,+	84.01327605901677	59.865956164143604
hsa-miR-411-3p	31	758	758	82.6	58.86	14:hsa;hsa-mir-411,101023375,101023396,+	82.59670979602427	58.85654315489086
hsa-miR-3200-3p	36	732	732	79.76	56.84	22:hsa;hsa-mir-3200,30731610,30731631,+	79.76357727003926	56.837717136385365
hsa-miR-106b-3p	29	730	730	79.55	56.68	7:hsa;hsa-mir-106b,100094044,100094065,-	79.54564399880965	56.682422827269555
hsa-miR-30c-2-3p	17	714	714	77.8	55.44	6:hsa;hsa-mir-30c-2,71377006,71377027,-	77.80217782897273	55.440068354343104
hsa-miR-625-3p	33	714	714	77.8	55.44	14:hsa;hsa-mir-625,65471153,65471174,+	77.80217782897273	55.440068354343104
hsa-miR-98-3p	28	708	708	77.15	54.97	X:hsa;hsa-mir-98,53556302,53556323,-	77.14837801528388	54.97418542699568
hsa-miR-141-3p	24	704	704	76.71	54.66	12:hsa;hsa-mir-141,6964155,6964176,+	76.71251147282464	54.66359680876407
hsa-miR-365b-3p	26	694	347	75.62	53.89	17:hsa;hsa-mir-365b,31575478,31575499,+	37.811422558338286	26.943562631592517
hsa-miR-365a-3p	26	694	347	75.62	53.89	16:hsa;hsa-mir-365a,14309340,14309361,+	37.811422558338286	26.943562631592517
hsa-miR-7-1-3p	23	688	688	74.97	53.42	9:hsa;hsa-mir-7-1,83969813,83969834,-	74.96904530298772	53.42124233583761
hsa-miR-221-5p	39	681	681	74.21	52.88	X:hsa;hsa-mir-221,45746181,45746202,-	74.20627885368407	52.87771225393229
hsa-miR-342-5p	33	675	675	73.55	52.41	14:hsa;hsa-mir-342,100109673,100109693,+	73.55247903999522	52.411829326584865
hsa-miR-1843	36	654	654	71.26	50.78	1:hsa;hsa-mir-1843,175968390,175968409,-	71.26417969208427	50.78123908086889
hsa-miR-193a-5p	23	647	647	70.5	50.24	17:hsa;hsa-mir-193a,31560016,31560037,+	70.50141324278061	50.23770899896357
hsa-miR-590-3p	17	634	634	69.08	49.23	7:hsa;hsa-mir-590,74191253,74191273,+	69.08484697978811	49.22829598971082
hsa-miR-29b-2-5p	30	615	614.5	67.01	47.75	1:hsa;hsa-mir-29b-2,207802453,207802474,-	66.95999758529936	47.71417647583171
hsa-miR-431-5p	16	610	610	66.47	47.36	14:hsa;hsa-mir-431,100881026,100881046,+	66.46964772503273	47.36476428032114
hsa-miR-320d	19	603	134.19	65.71	46.82	13:hsa;hsa-mir-320d-1,40727857,40727875,-	14.622284722025151	10.419508644960574
hsa-miR-455-3p	23	599	599	65.27	46.51	9:hsa;hsa-mir-455,114209487,114209507,+	65.27101473326984	46.510645580184196
hsa-miR-320d	16	597	130.36	65.05	46.36	X:hsa;hsa-mir-320d-2,140926201,140926219,-	14.204579285501724	10.121861219155278
hsa-miR-144-5p	20	586	586	63.85	45.5	17:hsa;hsa-mir-144,28861547,28861568,-	63.85444847027734	45.50123257093146
hsa-miR-376a-3p	14	579	289.5	63.09	44.96	14:hsa;hsa-mir-376a-1,101040825,101040845,+	31.545841010486843	22.478851244513063
hsa-miR-376a-3p	14	579	289.5	63.09	44.96	14:hsa;hsa-mir-376a-2,101040118,101040138,+	31.545841010486843	22.478851244513063
hsa-miR-381-3p	19	575	575	62.66	44.65	14:hsa;hsa-mir-381,101045968,101045989,+	62.65581547851445	44.64711387079451
hsa-miR-127-5p	33	570	570	62.11	44.26	14:hsa;hsa-mir-127,100883001,100883022,+	62.11098230044041	44.258878098005
hsa-miR-136-5p	24	570	570	62.11	44.26	14:hsa;hsa-mir-136,100884716,100884738,+	62.11098230044041	44.258878098005
hsa-miR-374a-3p	24	569	569	62	44.18	X:hsa;hsa-mir-374a,74287327,74287348,-	62.002015664825606	44.18123094344709
hsa-miR-194-5p	11	564	282	61.46	43.79	1:hsa;hsa-mir-194-1,220118171,220118192,-	30.72859124337578	21.896497585328788
hsa-miR-412-5p	15	543	543	59.17	42.16	14:hsa;hsa-mir-412,101065465,101065487,+	59.168883138840606	42.162404924941605
hsa-miR-2110	22	520	520	56.66	40.38	10:hsa;hsa-mir-2110,114174112,114174133,-	56.66265051970002	40.37652037010982
hsa-miR-299-5p	21	514	514	56.01	39.91	14:hsa;hsa-mir-299,101023800,101023821,+	56.00885070601118	39.9106374427624
hsa-miR-885-3p	19	506	506	55.14	39.29	3:hsa;hsa-mir-885,10394531,10394552,-	55.13711762109272	39.289460206299175
hsa-miR-128-1-5p	17	505	505	55.03	39.21	2:hsa;hsa-mir-128-1,135665411,135665433,+	55.02815098547791	39.21181305174127
hsa-miR-493-5p	16	499	499	54.37	38.75	14:hsa;hsa-mir-493,100869075,100869096,+	54.374351171789066	38.74593012439385
hsa-miR-1307-3p	26	499	499	54.37	38.75	10:hsa;hsa-mir-1307,103394332,103394353,-	54.374351171789066	38.74593012439385
hsa-miR-577	21	496	496	54.05	38.51	4:hsa;hsa-mir-577,114656774,114656794,+	54.04745126494464	38.51298866072014
hsa-miR-27b-5p	22	487	487	53.07	37.81	9:hsa;hsa-mir-27b,95085463,95085484,+	53.06675154441137	37.814164269699006
hsa-miR-183-5p	17	485	485	52.85	37.66	7:hsa;hsa-mir-183,129774931,129774952,-	52.848818273181756	37.658869960583196
hsa-miR-138-2-3p	15	481	481	52.41	37.35	16:hsa;hsa-mir-138-2,56858574,56858595,+	52.412951730722526	37.348281342351584
hsa-miR-190a-5p	21	479	479	52.2	37.19	15:hsa;hsa-mir-190a,62823971,62823992,+	52.19501845949291	37.19298703323578
hsa-miR-502-3p	22	468	399.33	51	36.34	X:hsa;hsa-mir-502,50014649,50014670,+	43.51400982217989	31.007097053456132
hsa-miR-1224-5p	14	467	467	50.89	36.26	3:hsa;hsa-mir-1224,184241405,184241423,+	50.887418832115216	36.261221178540936
hsa-miR-19b-3p	16	463	231.33	50.45	35.95	13:hsa;hsa-mir-19b-1,91351245,91351267,+	25.207615038892193	17.962375087728343
hsa-miR-19b-3p	16	463	231.33	50.45	35.95	X:hsa;hsa-mir-19b-2,134169732,134169754,-	25.207615038892193	17.962375087728343
hsa-miR-133a-3p	24	456	227.67	49.69	35.41	18:hsa;hsa-mir-133a-1,21825750,21825771,-	24.808070708304566	17.677668854349367
hsa-miR-133a-3p	24	456	227.67	49.69	35.41	20:hsa;hsa-mir-133a-2,62564970,62564991,+	24.808070708304566	17.677668854349367
hsa-miR-331-5p	35	441	441	48.05	34.24	12:hsa;hsa-mir-331,95308445,95308466,+	48.054286306130216	34.24239516003544
hsa-miR-184	18	439	439	47.84	34.09	15:hsa;hsa-mir-184,79209840,79209861,+	47.8363530349006	34.08710085091964
hsa-miR-326	17	437	437	47.62	33.93	11:hsa;hsa-mir-326,75335151,75335170,-	47.618419763670985	33.93180654180383
hsa-miR-154-3p	12	436	436	47.51	33.85	14:hsa;hsa-mir-154,101059805,101059826,+	47.50945312805617	33.85415938724593
hsa-miR-592	14	429	429	46.75	33.31	7:hsa;hsa-mir-592,127058103,127058124,-	46.746686678752525	33.310629305340605
hsa-miR-29c-5p	26	425	425	46.31	33	1:hsa;hsa-mir-29c,207801867,207801888,-	46.31082013629329	33.00004068710899
hsa-miR-17-5p	22	420	384.67	45.77	32.61	13:hsa;hsa-mir-17,91350618,91350640,+	41.91583249982937	29.86827211994021
hsa-miR-130a-3p	19	412	412	44.89	31.99	11:hsa;hsa-mir-130a,57641252,57641273,+	44.89425387330079	31.990627677856242
hsa-let-7i-3p	14	411	411	44.79	31.91	12:hsa;hsa-let-7i,62603747,62603768,+	44.785287237685985	31.91298052329834
hsa-miR-424-3p	17	411	411	44.79	31.91	X:hsa;hsa-mir-424,134546661,134546681,-	44.785287237685985	31.91298052329834
hsa-miR-582-5p	17	398	398	43.37	30.9	5:hsa;hsa-mir-582,59703621,59703643,-	43.36872097469348	30.903567514045594
hsa-miR-664a-5p	22	393	393	42.82	30.52	1:hsa;hsa-mir-664a,220200548,220200571,-	42.823887796619445	30.515331741256077
hsa-miR-3059-5p	17	378	378	41.19	29.35	12:hsa;hsa-mir-3059,86745081,86745104,-	41.18938826239733	29.350624422887524
hsa-miR-409-5p	19	377	377	41.08	29.27	14:hsa;hsa-mir-409,101065314,101065336,+	41.08042162678252	29.272977268329623
hsa-miR-873-5p	20	373	373	40.64	28.96	9:hsa;hsa-mir-873,28888889,28888909,-	40.64455508432329	28.962388650098006
hsa-miR-379-3p	17	373	373	40.64	28.96	14:hsa;hsa-mir-379,101022109,101022130,+	40.64455508432329	28.962388650098006
hsa-miR-16-2-3p	16	371	371	40.43	28.81	3:hsa;hsa-mir-16-2,160404797,160404818,+	40.426621813093675	28.8070943409822
hsa-miR-431-3p	29	356	356	38.79	27.64	14:hsa;hsa-mir-431,100881069,100881090,+	38.79212227887156	27.642387022613647
hsa-miR-181c-3p	21	355	355	38.68	27.56	19:hsa;hsa-mir-181c,13874763,13874784,+	38.68315564325675	27.564739868055742
hsa-miR-105-5p	16	350	175	38.14	27.18	X:hsa;hsa-mir-105-2,152394424,152394446,-	19.069161232591355	13.588252047633112
hsa-miR-105-5p	16	350	175	38.14	27.18	X:hsa;hsa-mir-105-1,152392231,152392253,-	19.069161232591355	13.588252047633112
hsa-miR-374b-3p	9	348	348	37.92	27.02	X:hsa;hsa-mir-374b,74218587,74218608,-	37.92038919395309	27.02120978615042
hsa-miR-362-5p	11	347	347	37.81	26.94	X:hsa;hsa-mir-362,50008968,50008991,+	37.811422558338286	26.943562631592517
hsa-miR-125a-3p	19	334	334	36.39	25.93	19:hsa;hsa-mir-125a,51693306,51693327,+	36.39485629534578	25.93414962233977
hsa-miR-24-1-5p	21	325	325	35.41	25.24	9:hsa;hsa-mir-24-1,95086027,95086048,+	35.414156574812516	25.23532523131864
hsa-miR-142-5p	18	325	325	35.41	25.24	17:hsa;hsa-mir-142,58331247,58331267,-	35.414156574812516	25.23532523131864
hsa-miR-214-3p	22	324	324	35.31	25.16	1:hsa;hsa-mir-214,172138868,172138889,-	35.30518993919771	25.157678076760735
hsa-miR-32-3p	12	323	323	35.2	25.08	9:hsa;hsa-mir-32,109046275,109046296,-	35.1962233035829	25.08003092220283
hsa-miR-708-3p	13	320	320	34.87	24.85	11:hsa;hsa-mir-708,79402078,79402099,-	34.86932339673848	24.847089458529123
hsa-miR-130b-3p	15	318	318	34.65	24.69	22:hsa;hsa-mir-130b,21653354,21653375,+	34.65139012550886	24.691795149413313
hsa-miR-487a-5p	12	313	313	34.11	24.3	14:hsa;hsa-mir-487a,101052458,101052479,+	34.106556947434825	24.303559376623795
hsa-miR-1306-5p	18	303	303	33.02	23.53	22:hsa;hsa-mir-1306,20086072,20086093,+	33.016890591286746	23.52708783104476
hsa-miR-1307-5p	15	300	300	32.69	23.29	10:hsa;hsa-mir-1307,103394293,103394313,-	32.68999068444232	23.294146367371052
hsa-miR-876-3p	11	291	291	31.71	22.6	9:hsa;hsa-mir-876,28863675,28863696,-	31.70929096390905	22.59532197634992
hsa-miR-135b-5p	9	282	281.33	30.73	21.9	1:hsa;hsa-mir-135b,205448317,205448339,-	30.655946819632582	21.844732815623523
hsa-miR-6511b-3p	22	282	90.75	30.73	21.9	16:hsa;hsa-mir-6511b-1,2106721,2106743,-	9.888722182043802	7.046479276129743
hsa-miR-6511b-3p	22	282	90.75	30.73	21.9	16:hsa;hsa-mir-6511b-1,15134118,15134140,-	9.888722182043802	7.046479276129743
hsa-miR-219a-5p	13	279	186.5	30.4	21.66	9:hsa;hsa-mir-219a-2,128392636,128392656,-	20.322277542161643	14.481194325049003
hsa-miR-1247-5p	15	277	277	30.18	21.51	14:hsa;hsa-mir-1247,101560326,101560347,-	30.183758065301745	21.50826181253927
hsa-miR-671-3p	26	273	273	29.75	21.2	7:hsa;hsa-mir-671,151238488,151238508,+	29.747891522842515	21.197673194307658
hsa-miR-424-5p	12	270	270	29.42	20.96	X:hsa;hsa-mir-424,134546624,134546645,-	29.42099161599809	20.964731730633947
hsa-miR-1908-5p	10	268	268	29.2	20.81	11:hsa;hsa-mir-1908,61815172,61815192,-	29.203058344768476	20.80943742151814
hsa-miR-26a-2-3p	14	268	268	29.2	20.81	12:hsa;hsa-mir-26a-2,57824660,57824681,-	29.203058344768476	20.80943742151814
hsa-miR-337-3p	12	268	268	29.2	20.81	14:hsa;hsa-mir-337,100874553,100874574,+	29.203058344768476	20.80943742151814
hsa-miR-323a-5p	9	267	267	29.09	20.73	14:hsa;hsa-mir-323a,101025747,101025768,+	29.094091709153666	20.731790266960235
hsa-miR-542-3p	15	260	260	28.33	20.19	X:hsa;hsa-mir-542,134541393,134541414,-	28.33132525985001	20.18826018505491
hsa-miR-339-5p	7	260	260	28.33	20.19	7:hsa;hsa-mir-339,1022947,1022969,-	28.33132525985001	20.18826018505491
hsa-miR-196b-5p	19	251	250.33	27.35	19.49	7:hsa;hsa-mir-196b,27169494,27169515,-	27.27798111557354	19.437671024328512
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-3,16324631,16324652,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-2,14925980,14926001,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-1,18344056,18344077,-	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-4,14925980,14926001,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-3,18344056,18344077,-	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-4,16368919,16368940,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-2,18344056,18344077,-	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-2,16368919,16368940,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-1,14925980,14926001,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-4,16324631,16324652,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-4,18344056,18344077,-	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-1,16324631,16324652,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-3,16368919,16368940,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-2,16324631,16324652,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-1,16368919,16368940,+	1.68898285202952	1.2035308956475044
hsa-miR-6511a-3p	20	248	15.5	27.02	19.26	16:hsa;hsa-mir-6511a-3,14925980,14926001,+	1.68898285202952	1.2035308956475044
hsa-miR-877-5p	16	246	246	26.81	19.1	6:hsa;hsa-mir-877,30584332,30584351,+	26.805792361242705	19.101200021244264
hsa-miR-200b-5p	11	235	235	25.61	18.25	1:hsa;hsa-mir-200b,1167124,1167145,+	25.60715936947982	18.247081321107324
hsa-miR-196a-5p	9	231	130.83	25.17	17.94	12:hsa;hsa-mir-196a-2,53991762,53991783,+	14.256468159604012	10.15883605465904
hsa-miR-124-5p	11	227	75.67	24.74	17.63	20:hsa;hsa-mir-124-3,63178514,63178535,+	8.245142094853781	5.875301361548029
hsa-miR-124-5p	11	227	75.67	24.74	17.63	8:hsa;hsa-mir-124-2,64379173,64379194,+	8.245142094853781	5.875301361548029
hsa-miR-124-5p	11	227	75.67	24.74	17.63	8:hsa;hsa-mir-124-1,9903401,9903422,-	8.245142094853781	5.875301361548029
hsa-miR-491-5p	13	224	224	24.41	17.39	9:hsa;hsa-mir-491,20716120,20716141,+	24.408526377716935	17.392962620970383
hsa-miR-3605-3p	16	223	223	24.3	17.32	1:hsa;hsa-mir-3605,33332458,33332480,-	24.299559742102126	17.315315466412482
hsa-miR-450b-5p	5	222	222	24.19	17.24	X:hsa;hsa-mir-450b,134540195,134540216,-	24.19059310648732	17.237668311854577
hsa-miR-142-3p	11	219	219	23.86	17	17:hsa;hsa-mir-142,58331283,58331305,-	23.863693199642896	17.004726848180866
hsa-miR-144-3p	7	213	213	23.21	16.54	17:hsa;hsa-mir-144,28861584,28861603,-	23.20989338595405	16.538843920833447
hsa-miR-1296-5p	13	212	212	23.1	16.46	10:hsa;hsa-mir-1296,63372972,63372993,-	23.10092675033924	16.461196766275542
hsa-miR-503-5p	11	209	209	22.77	16.23	X:hsa;hsa-mir-503,134546333,134546355,-	22.774026843494816	16.22825530260183
hsa-miR-589-5p	11	207	207	22.56	16.07	7:hsa;hsa-mir-589,5495842,5495863,-	22.5560935722652	16.072960993486024
hsa-miR-671-5p	10	204	204	22.23	15.84	7:hsa;hsa-mir-671,151238449,151238471,+	22.22919366542078	15.840019529812315
