name	unique reads 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35	181003-190524_Brain_S35 (mult. map. adj.)	PM181003-190524_Brain_S35(lib)	181003-190524_Brain_S35 (total)	coordinateString 181003-190524_Brain_S35 181003-190524_Brain_S35	181003-190524_Brain_S35 (lib)	181003-190524_Brain_S35 (total)
hsa-miR-223-3p	126	4068	4068	160.82	126.73	X:hsa;hsa-mir-223,66018937,66018958,+	160.81573584347143	126.72620056720255
hsa-miR-320b	120	4065	1029.77	160.7	126.63	1:hsa;hsa-mir-320b-2,224257080,224257101,-	40.70871856973648	32.07933108811914
hsa-miR-320b	113	4035	1000.77	159.51	125.7	1:hsa;hsa-mir-320b-1,116671787,116671808,+	39.56229370752888	31.17592405359388
hsa-miR-628-3p	131	4019	4019	158.88	125.2	15:hsa;hsa-mir-628,55373000,55373020,-	158.87867314525852	125.1997541985219
hsa-miR-1249-3p	149	3913	3913	154.69	121.9	22:hsa;hsa-mir-1249,45200994,45201015,-	154.6882926144306	121.89764572749843
hsa-miR-625-3p	128	3909	3909	154.53	121.77	14:hsa;hsa-mir-625,65471153,65471174,+	154.53016504722953	121.77303786066736
hsa-miR-203a-3p	112	3875	3875	153.19	120.71	14:hsa;hsa-mir-203a,104117469,104117490,+	153.18608072602058	120.71387099260322
hsa-miR-760	146	3695	3695	146.07	115.11	1:hsa;hsa-mir-760,93846880,93846899,+	146.07034020197318	115.10651698520488
hsa-miR-181d-5p	189	3685	3500.5	145.68	114.79	19:hsa;hsa-mir-181d,13874910,13874932,+	138.38138724682207	109.04745946054398
hsa-miR-628-5p	104	3575	3575	141.33	111.37	15:hsa;hsa-mir-628,55372962,55372983,-	141.32651318594156	111.36828098027264
hsa-miR-331-3p	94	3525	3525	139.35	109.81	12:hsa;hsa-mir-331,95308480,95308500,+	139.34991859592841	109.81068264488422
hsa-miR-499a-5p	75	3523	3523	139.27	109.75	20:hsa;hsa-mir-499a,34990408,34990428,+	139.27085481232788	109.74837871146869
hsa-miR-150-5p	111	3479	3479	137.53	108.38	19:hsa;hsa-mir-150,49500800,49500821,-	137.5314515731163	108.37769217632686
hsa-miR-532-5p	107	3438	3438	135.91	107.1	X:hsa;hsa-mir-532,50003167,50003188,+	135.91064400930549	107.10046154130835
hsa-miR-34a-5p	139	3415	3415	135	106.38	1:hsa;hsa-mir-34a,9151689,9151710,-	135.00141049789943	106.38396630702968
hsa-miR-129-1-3p	99	3346	3283.5	132.27	104.23	7:hsa;hsa-mir-129-1,128207920,128207941,+	129.8029667261648	102.2874826849581
hsa-miR-106b-5p	96	3323	3323	131.36	103.52	7:hsa;hsa-mir-106b,100094004,100094024,-	131.3644764522752	103.51798536991497
hsa-miR-125b-1-3p	111	3235	3235	127.89	100.78	11:hsa;hsa-mir-125b-1,122099811,122099832,-	127.88566997385202	100.77661229963134
hsa-miR-181c-5p	97	3207	3207	126.78	99.9	19:hsa;hsa-mir-181c,13874725,13874746,+	126.77877700344465	99.90435723181382
hsa-miR-330-5p	114	3112	3112	123.02	96.94	19:hsa;hsa-mir-330,45639011,45639032,-	123.02324728241963	96.9449203945758
hsa-miR-212-5p	99	3058	3058	120.89	95.26	17:hsa;hsa-mir-212,2050301,2050323,-	120.8885251252054	95.2627141923563
hsa-miR-140-5p	93	3036	3036	120.02	94.58	16:hsa;hsa-mir-140,69933103,69933124,+	120.01882350559961	94.57737092478538
hsa-miR-654-3p	117	2985	2985	118	92.99	14:hsa;hsa-mir-654,101040269,101040290,+	118.00269702378618	92.9886206226892
hsa-miR-655-3p	64	2952	2952	116.7	91.96	14:hsa;hsa-mir-655,101049610,101049631,+	116.69814459437748	91.96060572133283
hsa-miR-106b-3p	98	2876	2876	113.69	89.59	7:hsa;hsa-mir-106b,100094044,100094065,-	113.69372081755748	89.59305625154242
hsa-miR-130b-5p	68	2848	2848	112.59	88.72	22:hsa;hsa-mir-130b,21653316,21653336,+	112.58682784715009	88.7208011837249
hsa-miR-324-3p	49	2835	2835	112.07	88.32	17:hsa;hsa-mir-324,7223346,7223368,-	112.07291325374668	88.31582561652391
hsa-miR-31-5p	76	2659	2659	105.12	82.83	9:hsa;hsa-mir-31,21512122,21512142,-	105.11530029690032	82.83307947595664
hsa-miR-320c	62	2637	544.77	104.25	82.15	18:hsa;hsa-mir-320c-2,24321716,24321735,+	21.535751046608734	16.970627234851378
hsa-miR-155-5p	95	2633	2633	104.09	82.02	21:hsa;hsa-mir-155,25573983,25574006,+	104.08747111009347	82.02312834155465
hsa-miR-127-5p	83	2633	2633	104.09	82.02	14:hsa;hsa-mir-127,100883001,100883022,+	104.08747111009347	82.02312834155465
hsa-miR-1260a	9	2588	1735.5	102.31	80.62	14:hsa;hsa-mir-1260a,77266231,77266248,+	68.60759821935709	54.06423822133236
hsa-miR-221-5p	105	2579	2579	101.95	80.34	X:hsa;hsa-mir-221,45746181,45746202,-	101.95274895287925	80.34092213933515
hsa-miR-129-2-3p	76	2554	2491.5	100.96	79.56	11:hsa;hsa-mir-129-2,43581450,43581471,+	98.4937084203562	77.6151250524054
hsa-miR-320c	53	2545	485.94	100.61	79.28	18:hsa;hsa-mir-320c-1,21683559,21683578,+	19.20995807902655	15.13785319354431
hsa-miR-365a-3p	65	2501	1250.5	98.87	77.91	16:hsa;hsa-mir-365a,14309340,14309361,+	49.434630696229355	38.9555343680646
hsa-miR-365b-3p	65	2501	1250.5	98.87	77.91	17:hsa;hsa-mir-365b,31575478,31575499,+	49.434630696229355	38.9555343680646
hsa-miR-539-3p	62	2498	2498	98.75	77.82	14:hsa;hsa-mir-539,101047369,101047390,+	98.75066571705791	77.81761283600589
hsa-miR-375-3p	67	2472	2472	97.72	77.01	2:hsa;hsa-mir-375,219001684,219001705,-	97.72283653025107	77.00766170160391
hsa-miR-500a-3p	106	2456	2363.5	97.09	76.51	X:hsa;hsa-mir-500a,50008482,50008503,+	93.43362626992248	73.62767331381102
hsa-miR-20a-5p	80	2430	2424	96.06	75.7	13:hsa;hsa-mir-20a,91351072,91351094,+	95.82530572383843	75.51236729963102
hsa-miR-138-5p	96	2426	1634.5	95.9	75.57	16:hsa;hsa-mir-138-2,56858527,56858549,+	64.61487714753049	50.91788958384773
hsa-miR-501-3p	78	2400	2391	94.88	74.76	X:hsa;hsa-mir-501,50009772,50009793,+	94.52075329442974	74.48435239827465
hsa-miR-369-5p	68	2377	2377	93.97	74.05	14:hsa;hsa-mir-369,101065606,101065627,+	93.96730680922605	74.04822486436589
hsa-miR-3200-3p	113	2371	2371	93.73	73.86	22:hsa;hsa-mir-3200,30731610,30731631,+	93.73011545842446	73.86131306411929
hsa-miR-497-5p	76	2294	2294	90.69	71.46	17:hsa;hsa-mir-497,7017934,7017954,-	90.68615978980418	71.4626116276211
hsa-miR-505-3p	92	2259	2259	89.3	70.37	X:hsa;hsa-mir-505,139924198,139924219,-	89.30254357679497	70.37229279284921
hsa-miR-153-3p	76	2210	1105	87.37	68.85	2:hsa;hsa-mir-153-1,219294164,219294185,-	43.68274043929103	34.42292321208427
hsa-miR-153-3p	76	2210	1105	87.37	68.85	7:hsa;hsa-mir-153-2,157574388,157574409,-	43.68274043929103	34.42292321208427
hsa-miR-412-5p	56	2134	2134	84.36	66.48	14:hsa;hsa-mir-412,101065465,101065487,+	84.36105710176204	66.47829695437814
hsa-miR-1260b	8	2112	1259.5	83.49	65.79	11:hsa;hsa-mir-1260b,96341447,96341465,+	49.79041772243173	39.23590206843452
hsa-miR-30c-2-3p	62	2093	2093	82.74	65.2	6:hsa;hsa-mir-30c-2,71377006,71377027,-	82.74024953795124	65.20106631935963
hsa-miR-22-5p	53	2084	2084	82.38	64.92	17:hsa;hsa-mir-22,1713917,1713938,-	82.38446251174888	64.9206986189897
hsa-miR-181a-3p	79	2082	2081.5	82.31	64.86	1:hsa;hsa-mir-181a-1,198859107,198859128,-	82.28563278224821	64.84281870222028
hsa-miR-3615	90	2076	2076	82.07	64.67	17:hsa;hsa-mir-3615,74748663,74748683,+	82.06820737734677	64.67148288532756
hsa-miR-935	64	2054	2054	81.2	63.99	19:hsa;hsa-mir-935,53982362,53982384,+	81.19850575774097	63.98613961775665
hsa-miR-409-5p	74	2019	2019	79.81	62.9	14:hsa;hsa-mir-409,101065314,101065336,+	79.81488954473176	62.89582078298475
hsa-miR-410-3p	48	2001	2001	79.1	62.34	14:hsa;hsa-mir-410,101065961,101065981,+	79.10331549232701	62.33508538224491
hsa-miR-488-3p	67	1924	1924	76.06	59.94	1:hsa;hsa-mir-488,177029414,177029434,-	76.05935982370674	59.936383945746734
hsa-miR-374a-3p	53	1923	1923	76.02	59.91	X:hsa;hsa-mir-374a,74287327,74287348,-	76.01982793190648	59.905231979038966
hsa-miR-668-3p	70	1887	1887	74.6	58.78	14:hsa;hsa-mir-668,101055300,101055322,+	74.59667982709699	58.7837611775593
hsa-miR-539-5p	61	1809	1809	71.51	56.35	14:hsa;hsa-mir-539,101047329,101047350,+	71.51319226667646	56.353907774353345
hsa-miR-577	59	1771	1771	70.01	55.17	4:hsa;hsa-mir-577,114656774,114656794,+	70.01098037826644	55.17013303945814
hsa-miR-182-5p	66	1710	1710	67.6	53.27	7:hsa;hsa-mir-182,129770405,129770428,-	67.59953497845038	53.26986307028426
hsa-miR-411-3p	60	1691	1690	66.85	52.68	14:hsa;hsa-mir-411,101023375,101023396,+	66.8088971424451	52.64682373612889
hsa-miR-664a-3p	70	1670	1670	66.02	52.02	1:hsa;hsa-mir-664a,220200586,220200608,-	66.01825930643984	52.023784401973515
hsa-miR-664a-5p	54	1661	1661	65.66	51.74	1:hsa;hsa-mir-664a,220200548,220200571,-	65.66247228023747	51.7434167016036
hsa-miR-345-5p	73	1661	1661	65.66	51.74	14:hsa;hsa-mir-345,100307876,100307897,+	65.66247228023747	51.7434167016036
hsa-miR-493-5p	39	1635	1635	64.63	50.93	14:hsa;hsa-mir-493,100869075,100869096,+	64.63464309343063	50.933465567201615
hsa-miR-17-5p	52	1628	1599.5	64.36	50.72	13:hsa;hsa-mir-17,91350618,91350640,+	63.23126093452127	49.82757074907583
hsa-miR-324-5p	58	1598	1598	63.17	49.78	17:hsa;hsa-mir-324,7223312,7223333,-	63.171963096820875	49.78084279901418
hsa-miR-376c-3p	34	1581	1577.67	62.5	49.25	14:hsa;hsa-mir-376c,101039732,101039752,+	62.36814796354885	49.14741947595621
hsa-miR-9985	23	1564	596	61.83	48.72	Y:hsa;hsa-mir-9985,4606140,4606158,+	23.561007512956973	18.56657215783007
hsa-miR-487a-3p	49	1549	1548	61.23	48.25	14:hsa;hsa-mir-487a,101052494,101052515,+	61.19536850680771	48.223244463625754
hsa-miR-128-1-5p	41	1527	1527	60.37	47.57	2:hsa;hsa-mir-128-1,135665411,135665433,+	60.36519877900218	47.569053162762614
hsa-miR-320d	36	1511	354.2	59.73	47.07	13:hsa;hsa-mir-320d-1,40727857,40727875,-	14.002290199205197	11.034100779240935
hsa-miR-193a-5p	52	1502	1502	59.38	46.79	17:hsa;hsa-mir-193a,31560016,31560037,+	59.37690148399559	46.7902539950684
hsa-miR-380-3p	41	1485	1485	58.7	46.26	14:hsa;hsa-mir-380,101025056,101025077,+	58.70485932339111	46.26067056103633
hsa-miR-671-3p	63	1478	1478	58.43	46.04	7:hsa;hsa-mir-671,151238488,151238508,+	58.42813608078927	46.04260679408195
hsa-miR-339-3p	56	1478	1478	58.43	46.04	7:hsa;hsa-mir-339,1022982,1023004,-	58.42813608078927	46.04260679408195
hsa-miR-320d	28	1471	315.87	58.15	45.82	X:hsa;hsa-mir-320d-2,140926201,140926219,-	12.486901013528435	9.83994205544314
hsa-miR-425-3p	65	1430	1430	56.53	44.55	3:hsa;hsa-mir-425,49020202,49020223,-	56.530605274376626	44.547312392109056
hsa-miR-342-5p	69	1427	1427	56.41	44.45	14:hsa;hsa-mir-342,100109673,100109693,+	56.412009598975835	44.45385649198575
hsa-miR-212-3p	56	1321	1321	52.22	41.15	17:hsa;hsa-mir-212,2050341,2050361,-	52.22162906814792	41.15174802096229
hsa-miR-29b-2-5p	55	1307	1306.5	51.67	40.72	1:hsa;hsa-mir-29b-2,207802453,207802474,-	51.6484166370441	40.700044503699644
hsa-miR-184	45	1263	1263	49.93	39.34	15:hsa;hsa-mir-184,79209840,79209861,+	49.92877934373264	39.344933951911706
hsa-miR-144-5p	47	1230	1230	48.62	38.32	17:hsa;hsa-mir-144,28861547,28861568,-	48.624226914323955	38.31691905055534
hsa-miR-10b-5p	40	1186	1183	46.88	36.95	2:hsa;hsa-mir-10b,176150329,176150351,+	46.766227999711575	36.852776615290225
hsa-miR-1307-3p	48	1174	1174	46.41	36.57	10:hsa;hsa-mir-1307,103394332,103394353,-	46.4104409735092	36.5724089149203
hsa-miR-27b-5p	42	1165	1165	46.05	36.29	9:hsa;hsa-mir-27b,95085463,95085484,+	46.05465394730683	36.29204121455039
hsa-miR-1843	65	1158	1158	45.78	36.07	1:hsa;hsa-mir-1843,175968390,175968409,-	45.77793070470499	36.07397744759601
hsa-miR-590-3p	34	1129	1129	44.63	35.17	7:hsa;hsa-mir-590,74191253,74191273,+	44.631505842497354	35.17057041307072
hsa-miR-885-3p	45	1114	1114	44.04	34.7	3:hsa;hsa-mir-885,10394531,10394552,-	44.0385274654934	34.70329091245419
hsa-miR-24-1-5p	51	1109	1109	43.84	34.55	9:hsa;hsa-mir-24-1,95086027,95086048,+	43.84086800649209	34.54753107891535
hsa-miR-29c-5p	60	1097	1097	43.37	34.17	1:hsa;hsa-mir-29c,207801867,207801888,-	43.366485304888926	34.17370747842212
hsa-miR-381-3p	42	1079	1079	42.65	33.61	14:hsa;hsa-mir-381,101045968,101045989,+	42.65491125248418	33.612972077682294
hsa-miR-323a-5p	37	1076	1076	42.54	33.52	14:hsa;hsa-mir-323a,101025747,101025768,+	42.53631557708339	33.519516177558984
hsa-miR-2110	56	1073	1073	42.42	33.43	10:hsa;hsa-mir-2110,114174112,114174133,-	42.4177199016826	33.42606027743568
hsa-miR-582-5p	36	1054	1054	41.67	32.83	5:hsa;hsa-mir-582,59703621,59703643,-	41.6666139574776	32.83417290998808
hsa-miR-3605-3p	57	1053	1053	41.63	32.8	1:hsa;hsa-mir-3605,33332458,33332480,-	41.627082065677335	32.80302094328031
hsa-miR-502-3p	43	1048	962.5	41.43	32.65	X:hsa;hsa-mir-502,50014649,50014670,+	38.0494458577535	29.98376795622725
hsa-miR-19b-3p	33	1045	522	41.31	32.55	13:hsa;hsa-mir-19b-1,91351245,91351267,+	20.635647519737486	16.261326621455197
hsa-miR-19b-3p	33	1045	522	41.31	32.55	X:hsa;hsa-mir-19b-2,134169732,134169754,-	20.635647519737482	16.261326621455193
hsa-miR-592	34	1045	1045	41.31	32.55	7:hsa;hsa-mir-592,127058103,127058124,-	41.31082693127523	32.55380520961816
hsa-miR-136-5p	38	1038	1038	41.03	32.34	14:hsa;hsa-mir-136,100884716,100884738,+	41.03410368867338	32.33574144266378
hsa-miR-374b-3p	39	1037	1037	40.99	32.3	X:hsa;hsa-mir-374b,74218587,74218608,-	40.994571796873124	32.30458947595601
hsa-miR-194-5p	39	1023	763.5	40.44	31.87	11:hsa;hsa-mir-194-2,64891369,64891390,-	30.18259938950109	23.784526581381307
hsa-miR-326	28	1015	1015	40.12	31.62	11:hsa;hsa-mir-326,75335151,75335170,-	40.124870177267326	31.619246208385103
hsa-miR-23b-5p	44	1005	1005	39.73	31.31	9:hsa;hsa-mir-23b,95085227,95085248,+	39.729551259264696	31.307726541307417
hsa-miR-708-3p	36	1003	1003	39.65	31.25	11:hsa;hsa-mir-708,79402078,79402099,-	39.650487475664164	31.24542260789188
hsa-miR-877-5p	52	990	990	39.14	30.84	6:hsa;hsa-mir-877,30584332,30584351,+	39.136572882260744	30.840447040690886
hsa-miR-192-5p	55	986	985.5	38.98	30.72	11:hsa;hsa-mir-192,64891160,64891180,-	38.958679369159555	30.70026319050593
hsa-miR-142-5p	39	985	985	38.94	30.68	17:hsa;hsa-mir-142,58331247,58331267,-	38.93891342325943	30.684687207152045
hsa-miR-6511b-3p	52	979	309.5	38.7	30.5	16:hsa;hsa-mir-6511b-1,15134118,15134140,-	12.235120512181515	9.641533696054374
hsa-miR-6511b-3p	52	979	309.5	38.7	30.5	16:hsa;hsa-mir-6511b-1,2106721,2106743,-	12.235120512181515	9.641533696054374
hsa-miR-190a-5p	23	961	961	37.99	29.94	15:hsa;hsa-mir-190a,62823971,62823992,+	37.990148020053105	29.9370400061656
hsa-miR-16-2-3p	45	955	955	37.75	29.75	3:hsa;hsa-mir-16-2,160404797,160404818,+	37.752956669251525	29.750128205918987
hsa-miR-98-3p	37	951	951	37.59	29.63	X:hsa;hsa-mir-98,53556302,53556323,-	37.59482910205047	29.625520339087913
hsa-miR-4510	53	942	481	37.24	29.35	15:hsa;hsa-mir-4510,35926863,35926884,+	19.014839955926686	14.984095986436683
hsa-miR-582-3p	39	938	938	37.08	29.22	5:hsa;hsa-mir-582,59703658,59703679,-	37.08091450864705	29.22054477188692
hsa-miR-1224-5p	35	938	938	37.08	29.22	3:hsa;hsa-mir-1224,184241405,184241423,+	37.08091450864705	29.22054477188692
hsa-miR-154-3p	27	926	926	36.61	28.85	14:hsa;hsa-mir-154,101059805,101059826,+	36.606531807043886	28.8467211713937
hsa-miR-1271-5p	33	907	907	35.86	28.25	5:hsa;hsa-mir-1271,176367960,176367981,+	35.855425862838885	28.254833803946095
hsa-miR-124-5p	45	904	301.33	35.74	28.16	8:hsa;hsa-mir-124-1,9903401,9903422,-	11.912276729146008	9.387125967940912
hsa-miR-124-5p	45	904	301.33	35.74	28.16	8:hsa;hsa-mir-124-2,64379173,64379194,+	11.912276729146008	9.387125967940912
hsa-miR-124-5p	45	904	301.33	35.74	28.16	20:hsa;hsa-mir-124-3,63178514,63178535,+	11.912276729146008	9.387125967940912
hsa-miR-200b-3p	42	873	873	34.51	27.2	1:hsa;hsa-mir-200b,1167160,1167181,+	34.511341541629925	27.195666935881963
hsa-miR-1250-5p	30	860	860	34	26.79	17:hsa;hsa-mir-1250,81133219,81133239,-	33.997426948226504	26.790691368680974
hsa-miR-181c-3p	47	851	850.5	33.64	26.51	19:hsa;hsa-mir-181c,13874763,13874784,+	33.621873976124	26.494747684957172
hsa-miR-138-2-3p	45	840	840	33.21	26.17	16:hsa;hsa-mir-138-2,56858574,56858595,+	33.20678911222124	26.167652034525602
hsa-miR-431-3p	56	831	831	32.85	25.89	14:hsa;hsa-mir-431,100881069,100881090,+	32.851002086018866	25.887284334155684
hsa-miR-487a-5p	29	825	825	32.61	25.7	14:hsa;hsa-mir-487a,101052458,101052479,+	32.613810735217285	25.70037253390907
hsa-miR-146b-3p	28	807	807	31.9	25.14	10:hsa;hsa-mir-146b,102436557,102436578,+	31.902236682812546	25.139637133169238
hsa-miR-1306-5p	30	799	799	31.59	24.89	22:hsa;hsa-mir-1306,20086072,20086093,+	31.585981548410437	24.89042139950709
hsa-miR-7-1-3p	40	795	795	31.43	24.77	9:hsa;hsa-mir-7-1,83969813,83969834,-	31.427853981209385	24.765813532676017
hsa-miR-455-3p	30	792	792	31.31	24.67	9:hsa;hsa-mir-455,114209487,114209507,+	31.309258305808594	24.67235763255271
hsa-miR-376a-3p	31	787	392.5	31.11	24.52	14:hsa;hsa-mir-376a-2,101040118,101040138,+	15.516267531603374	12.227146932799164
hsa-miR-376a-3p	31	787	392.5	31.11	24.52	14:hsa;hsa-mir-376a-1,101040825,101040845,+	15.516267531603374	12.227146932799164
hsa-miR-660-5p	32	785	785	31.03	24.45	X:hsa;hsa-mir-660,50013256,50013277,+	31.03253506320675	24.45429386559833
hsa-miR-329-5p	33	778	389	30.76	24.24	14:hsa;hsa-mir-329-2,101027114,101027136,+	15.377905910302454	12.118115049321975
hsa-miR-329-5p	33	778	389	30.76	24.24	14:hsa;hsa-mir-329-1,101026797,101026819,+	15.377905910302454	12.118115049321975
hsa-miR-12136	18	757	378.5	29.93	23.58	MT:hsa;hsa-mir-12136,7444,7461,-	14.962821046399688	11.791019398890406
hsa-miR-12136	18	757	378.5	29.93	23.58	1:hsa;hsa-mir-12136,632615,632632,-	14.962821046399688	11.791019398890406
hsa-miR-873-5p	34	752	752	29.73	23.43	9:hsa;hsa-mir-873,28888889,28888909,-	29.72798263379806	23.426278964241966
hsa-miR-10a-5p	44	752	748.5	29.73	23.43	17:hsa;hsa-mir-10a,48579859,48579881,-	29.589621012497137	23.317247080764776
hsa-miR-183-5p	26	749	749	29.61	23.33	7:hsa;hsa-mir-183,129774931,129774952,-	29.60938695839727	23.33282306411866
hsa-miR-32-5p	29	743	743	29.37	23.15	9:hsa;hsa-mir-32,109046234,109046255,-	29.37219560759569	23.14591126387205
hsa-miR-6511b-3p	37	720	180	28.46	22.43	16:hsa;hsa-mir-6511b-2,2106725,2106747,-	7.115740524047408	5.607354007398343
hsa-miR-6511b-3p	37	720	180	28.46	22.43	16:hsa;hsa-mir-6511b-2,15134122,15134144,-	7.115740524047408	5.607354007398343
hsa-let-7e-3p	45	709	709	28.03	22.09	19:hsa;hsa-let-7e,51692838,51692859,+	28.028111286386736	22.08674439580792
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-2,14925980,14926001,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-4,18344056,18344077,-	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-3,16324631,16324652,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-4,16368919,16368940,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-4,14925980,14926001,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-2,16368919,16368940,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-3,16368919,16368940,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-1,16368919,16368940,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-1,18344056,18344077,-	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-3,18344056,18344077,-	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-1,16324631,16324652,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-4,16324631,16324652,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-2,18344056,18344077,-	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-2,16324631,16324652,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-1,14925980,14926001,+	1.746815468924138	1.3765275288995238
hsa-miR-6511a-3p	34	707	44.19	27.95	22.02	16:hsa;hsa-mir-6511a-3,14925980,14926001,+	1.746815468924138	1.3765275288995238
hsa-miR-629-5p	26	681	681	26.92	21.21	15:hsa;hsa-mir-629,70079393,70079413,-	26.92121831597936	21.2144893279904
hsa-miR-654-5p	41	676	676	26.72	21.06	14:hsa;hsa-mir-654,101040234,101040255,+	26.72355885697804	21.058729494451555
hsa-miR-424-5p	21	659	659	26.05	20.53	X:hsa;hsa-mir-424,134546624,134546645,-	26.051516696373564	20.52914606041949
hsa-miR-299-5p	31	657	657	25.97	20.47	14:hsa;hsa-mir-299,101023800,101023821,+	25.97245291277304	20.466842127003954
hsa-miR-424-3p	20	642	642	25.38	20	X:hsa;hsa-mir-424,134546661,134546681,-	25.379474535769088	19.999562626387423
hsa-miR-125a-3p	20	636	636	25.14	19.81	19:hsa;hsa-mir-125a,51693306,51693327,+	25.142283184967507	19.812650826140814
hsa-miR-671-5p	30	635	635	25.1	19.78	7:hsa;hsa-mir-671,151238449,151238471,+	25.102751293167245	19.781498859433043
hsa-miR-1296-5p	30	619	619	24.47	19.28	10:hsa;hsa-mir-1296,63372972,63372993,-	24.47024102436303	19.283067392108748
hsa-miR-1298-3p	25	616	616	24.35	19.19	X:hsa;hsa-mir-1298,114715304,114715324,+	24.35164534896224	19.189611491985442
hsa-let-7i-3p	18	616	616	24.35	19.19	12:hsa;hsa-let-7i,62603747,62603768,+	24.35164534896224	19.189611491985442
hsa-miR-491-5p	34	613	613	24.23	19.1	9:hsa;hsa-mir-491,20716120,20716141,+	24.23304967356145	19.096155591862136
hsa-miR-379-3p	24	608	607	24.04	18.94	14:hsa;hsa-mir-379,101022109,101022130,+	23.99585832275987	18.909243791615523
hsa-miR-339-5p	16	607	607	24	18.91	7:hsa;hsa-mir-339,1022947,1022969,-	23.99585832275987	18.909243791615523
hsa-miR-769-3p	31	605	605	23.92	18.85	19:hsa;hsa-mir-769,46019000,46019022,+	23.916794539159344	18.84693985819999
hsa-miR-130a-3p	24	599	598.5	23.68	18.66	11:hsa;hsa-mir-130a,57641252,57641273,+	23.65983724245763	18.644452074599492
hsa-miR-130b-3p	31	595	594.5	23.52	18.54	22:hsa;hsa-mir-130b,21653354,21653375,+	23.501709675256578	18.51984420776842
hsa-miR-1468-5p	28	594	594	23.48	18.5	X:hsa;hsa-mir-1468,63786014,63786034,-	23.481943729356445	18.50426822441453
hsa-miR-3173-5p	27	582	582	23.01	18.13	14:hsa;hsa-mir-3173,95137923,95137944,-	23.007561027753287	18.13044462392131
hsa-miR-5010-3p	27	569	569	22.49	17.73	17:hsa;hsa-mir-5010,42514267,42514288,+	22.493646434349863	17.725469056720318
hsa-miR-433-5p	20	555	555	21.94	17.29	14:hsa;hsa-mir-433,100881897,100881918,+	21.940199949146173	17.289341522811558
hsa-miR-105-5p	32	528	264	20.87	16.45	X:hsa;hsa-mir-105-2,152394424,152394446,-	10.436419435269531	8.224119210850903
hsa-miR-105-5p	32	528	264	20.87	16.45	X:hsa;hsa-mir-105-1,152392231,152392253,-	10.436419435269531	8.224119210850903
hsa-miR-758-5p	23	528	528	20.87	16.45	14:hsa;hsa-mir-758,101026034,101026055,+	20.872838870539063	16.448238421701806
hsa-miR-3059-5p	29	521	521	20.6	16.23	12:hsa;hsa-mir-3059,86745081,86745104,-	20.59611562793722	16.230174654747426
hsa-miR-32-3p	24	520	520	20.56	16.2	9:hsa;hsa-mir-32,109046275,109046296,-	20.556583736136957	16.19902268803966
hsa-miR-194-5p	19	519	259.5	20.52	16.17	1:hsa;hsa-mir-194-1,220118171,220118192,-	10.258525922168346	8.083935360665945
hsa-miR-362-5p	21	512	512	20.24	15.95	X:hsa;hsa-mir-362,50008968,50008991,+	20.24032860173485	15.94980695437751
hsa-miR-331-5p	32	510	510	20.16	15.89	12:hsa;hsa-mir-331,95308445,95308466,+	20.161264818134324	15.887503020961972
hsa-miR-1306-3p	33	497	497	19.65	15.48	22:hsa;hsa-mir-1306,20086112,20086129,+	19.6473502247309	15.48252745376098
hsa-miR-337-3p	25	494	494	19.53	15.39	14:hsa;hsa-mir-337,100874553,100874574,+	19.52875454933011	15.389071553637676
hsa-miR-133a-3p	31	492	246	19.45	15.33	20:hsa;hsa-mir-133a-2,62564970,62564991,+	9.72484538286479	7.663383810111069
