name	unique reads 181023-190319_Brain_S29	181023-190319_Brain_S29	181023-190319_Brain_S29 (mult. map. adj.)	PM181023-190319_Brain_S29(lib)	181023-190319_Brain_S29 (total)	coordinateString 181023-190319_Brain_S29	181023-190319_Brain_S29 (lib)	181023-190319_Brain_S29 (total)
hsa-miR-181c-5p	89	3839	3839	147.63	113	19:hsa;hsa-mir-181c,13874725,13874746,+	147.62714267492308	113.00385952775456
hsa-miR-221-5p	108	3799	3799	146.09	111.83	X:hsa;hsa-mir-221,45746181,45746202,-	146.088959370157	111.82642936856982
hsa-miR-182-5p	107	3775	3775	145.17	111.12	7:hsa;hsa-mir-182,129770405,129770428,-	145.16604938729736	111.11997127305898
hsa-miR-153-3p	93	3740	1870	143.82	110.09	2:hsa;hsa-mir-153-1,219294164,219294185,-	71.91006949781354	55.04485994188617
hsa-miR-153-3p	93	3740	1870	143.82	110.09	7:hsa;hsa-mir-153-2,157574388,157574409,-	71.91006949781354	55.04485994188617
hsa-miR-378a-3p	36	3723	3707.5	143.17	109.59	5:hsa;hsa-mir-378a,149732867,149732888,+	142.57036506050463	109.13305787943474
hsa-miR-34a-5p	106	3716	3716	142.9	109.38	1:hsa;hsa-mir-34a,9151689,9151710,-	142.8972290127674	109.3832617882615
hsa-miR-138-5p	118	3642	2876	140.05	107.21	3:hsa;hsa-mir-138-1,44114234,44114256,+	110.59537961268006	84.65722844538216
hsa-miR-199a-3p	102	3632	1210.67	139.67	106.91	1:hsa;hsa-mir-199a-2,172144604,172144625,-	46.55568135758618	35.63688615132448
hsa-miR-199b-3p	102	3632	1210.67	139.67	106.91	9:hsa;hsa-mir-199b,128244785,128244806,-	46.55568135758618	35.63688615132448
hsa-miR-199a-3p	102	3632	1210.67	139.67	106.91	19:hsa;hsa-mir-199a-1,10817472,10817493,-	46.55568135758618	35.63688615132448
hsa-miR-15b-5p	71	3622	3622	139.28	106.62	3:hsa;hsa-mir-15b,160404607,160404628,+	139.28249824656717	106.61630091417739
hsa-miR-484	91	3578	3578	137.59	105.32	16:hsa;hsa-mir-484,15643301,15643322,+	137.5904966113245	105.32112773907419
hsa-miR-532-5p	88	3558	3558	136.82	104.73	X:hsa;hsa-mir-532,50003167,50003188,+	136.82140495894146	104.73241265948181
hsa-miR-330-5p	100	3501	3501	134.63	103.05	19:hsa;hsa-mir-330,45639011,45639032,-	134.62949374964984	103.05457468264358
hsa-miR-331-3p	91	3496	3496	134.44	102.91	12:hsa;hsa-mir-331,95308480,95308500,+	134.43722083655408	102.90739591274549
hsa-miR-181d-5p	126	3429	3345.17	131.86	100.94	19:hsa;hsa-mir-181d,13874910,13874932,+	128.63698795816543	98.46750302081978
hsa-miR-628-5p	89	3378	3378	129.9	99.43	15:hsa;hsa-mir-628,55372962,55372983,-	129.89958008749417	99.43397694315053
hsa-miR-150-5p	94	3361	3361	129.25	98.93	19:hsa;hsa-mir-150,49500800,49500821,-	129.2458521829686	98.93356912549702
hsa-miR-155-5p	91	3206	3206	123.29	94.37	21:hsa;hsa-mir-155,25573983,25574006,+	123.2853918770001	94.37102725865618
hsa-miR-383-5p	74	3177	3177	122.17	93.52	8:hsa;hsa-mir-383,14853444,14853465,-	122.1702089810447	93.51739039324725
hsa-miR-655-3p	64	3095	3095	119.02	91.1	14:hsa;hsa-mir-655,101049610,101049631,+	119.01693320627427	91.10365856691855
hsa-miR-31-5p	74	3064	3064	117.82	90.19	9:hsa;hsa-mir-31,21512122,21512142,-	117.82484114508057	90.19115019355038
hsa-miR-499a-5p	54	3020	3020	116.13	88.9	20:hsa;hsa-mir-499a,34990408,34990428,+	116.1328395098379	88.89597701844718
hsa-miR-134-5p	94	2982	2982	114.67	87.78	14:hsa;hsa-mir-134,101054694,101054715,+	114.67156537031013	87.77741836722169
hsa-miR-375-3p	60	2954	2954	113.59	86.95	2:hsa;hsa-mir-375,219001684,219001705,-	113.59483705697389	86.95321725579238
hsa-miR-500a-3p	76	2816	2689.33	108.29	82.89	X:hsa;hsa-mir-500a,50008482,50008503,+	103.4171908571051	79.16255436918675
hsa-let-7a-3p	81	2799	1455	107.63	82.39	9:hsa;hsa-let-7a-1,94176013,94176033,+	55.95141771086561	42.82902204034459
hsa-miR-129-2-3p	66	2798	2709	107.6	82.36	11:hsa;hsa-mir-129-2,43581450,43581471,+	104.17346431528175	79.74145753078591
hsa-miR-654-3p	72	2708	2708	104.14	79.71	14:hsa;hsa-mir-654,101040269,101040290,+	104.1350097326626	79.71202177680628
hsa-let-7a-3p	75	2688	1344	103.37	79.12	22:hsa;hsa-let-7a-3,46112800,46112820,+	51.68295904013978	39.56165334860696
hsa-miR-760	75	2687	2687	103.33	79.09	1:hsa;hsa-mir-760,93846880,93846899,+	103.3274634976604	79.0938709432343
hsa-miR-374a-3p	44	2670	2670	102.67	78.59	X:hsa;hsa-mir-374a,74287327,74287348,-	102.67373559313484	78.59346312558078
hsa-miR-181a-3p	73	2645	2625.5	101.71	77.86	1:hsa;hsa-mir-181a-1,198859107,198859128,-	100.96250666658258	77.28357207348778
hsa-miR-127-5p	62	2527	2527	97.17	74.38	14:hsa;hsa-mir-127,100883001,100883022,+	97.17473027859614	74.38415030649537
hsa-miR-324-3p	34	2524	2524	97.06	74.3	17:hsa;hsa-mir-324,7223346,7223368,-	97.05936653073869	74.29584304455652
hsa-miR-125b-1-3p	84	2498	2498	96.06	73.53	11:hsa;hsa-mir-125b-1,122099811,122099832,-	96.05954738264074	73.53051344108644
hsa-miR-3615	75	2469	2469	94.94	72.68	17:hsa;hsa-mir-3615,74748663,74748683,+	94.94436448668536	72.67687657567751
hsa-miR-376c-3p	41	2461	2459.67	94.64	72.44	14:hsa;hsa-mir-376c,101039732,101039752,+	94.5854550489066	72.40214287186774
hsa-miR-9985	30	2400	886.33	92.29	70.65	Y:hsa;hsa-mir-9985,4606140,4606158,+	34.08357839477472	26.089889943934995
hsa-miR-668-3p	80	2354	2354	90.52	69.29	14:hsa;hsa-mir-668,101055300,101055322,+	90.52208748548291	69.29176486802142
hsa-miR-539-3p	55	2327	2327	89.48	68.5	14:hsa;hsa-mir-539,101047369,101047390,+	89.48381375476582	68.49699951057173
hsa-miR-494-3p	40	2295	2295	88.25	67.56	14:hsa;hsa-mir-494,101029681,101029702,+	88.25326711095298	67.55505538322393
hsa-miR-1260a	7	2286	1454	87.91	67.29	14:hsa;hsa-mir-1260a,77266231,77266248,+	55.91296312824646	42.79958628636497
hsa-miR-128-1-5p	56	2239	2239	86.1	65.91	2:hsa;hsa-mir-128-1,135665411,135665433,+	86.09981048428048	65.90665316036531
hsa-miR-1260b	5	2213	1381	85.1	65.14	11:hsa;hsa-mir-1260b,96341447,96341465,+	53.10577859704839	40.65077624585283
hsa-miR-488-3p	59	2188	2188	84.14	64.41	1:hsa;hsa-mir-488,177029414,177029434,-	84.13862677070375	64.40542970740478
hsa-miR-369-5p	46	2184	2184	83.98	64.29	14:hsa;hsa-mir-369,101065606,101065627,+	83.98480844022714	64.28768669148631
hsa-miR-410-3p	52	2182	2182	83.91	64.23	14:hsa;hsa-mir-410,101065961,101065981,+	83.90789927498884	64.22881518352708
hsa-miR-324-5p	80	2182	2182	83.91	64.23	17:hsa;hsa-mir-324,7223312,7223333,-	83.90789927498884	64.22881518352708
hsa-miR-320c	40	2180	440.48	83.83	64.17	18:hsa;hsa-mir-320c-2,24321716,24321735,+	16.938465396230896	12.965853904429402
hsa-miR-411-3p	64	2162	2161	83.14	63.64	14:hsa;hsa-mir-411,101023375,101023396,+	83.10035303998666	63.61066434995509
hsa-miR-10b-5p	64	2159	2156	83.02	63.55	2:hsa;hsa-mir-10b,176150329,176150351,+	82.9080801268909	63.463485580057
hsa-miR-577	67	2153	2153	82.79	63.38	4:hsa;hsa-mir-577,114656774,114656794,+	82.79271637903344	63.375178318118145
hsa-miR-106b-5p	52	2142	2142	82.37	63.05	7:hsa;hsa-mir-106b,100094004,100094024,-	82.36971597022277	63.05138502434234
hsa-miR-22-5p	53	2130	2130	81.91	62.7	17:hsa;hsa-mir-22,1713917,1713938,-	81.90826097879295	62.698155976586925
hsa-miR-130b-5p	44	2103	2103	80.87	61.9	22:hsa;hsa-mir-130b,21653316,21653336,+	80.86998724807586	61.90339061913723
hsa-miR-320c	31	2045	359.65	78.64	60.2	18:hsa;hsa-mir-320c-1,21683559,21683578,+	13.83005330118281	10.586463791076925
hsa-miR-412-5p	53	2011	2011	77.33	59.2	14:hsa;hsa-mir-412,101065465,101065487,+	77.33216564711391	59.195301253012346
hsa-miR-106b-3p	64	1995	1995	76.72	58.72	7:hsa;hsa-mir-106b,100094044,100094065,-	76.71689232520748	58.724329189338455
hsa-miR-138-5p	64	1992	1226	76.6	58.64	16:hsa;hsa-mir-138-2,56858527,56858549,+	47.14531829107989	36.088234379012
hsa-miR-505-3p	79	1962	1962	75.45	57.75	X:hsa;hsa-mir-505,139924198,139924219,-	75.44789109877549	57.752949308011054
hsa-miR-3200-3p	61	1953	1953	75.1	57.49	22:hsa;hsa-mir-3200,30731610,30731631,+	75.10179985520311	57.488027522194486
hsa-miR-539-5p	54	1951	1951	75.02	57.43	14:hsa;hsa-mir-539,101047329,101047350,+	75.02489068996482	57.429156014235254
hsa-miR-20a-5p	46	1941	1938.83	74.64	57.13	13:hsa;hsa-mir-20a,91351072,91351094,+	74.5570266014318	57.071021007483225
hsa-miR-144-5p	49	1932	1932	74.29	56.87	17:hsa;hsa-mir-144,28861547,28861568,-	74.29425362020093	56.869876688622504
hsa-miR-30c-2-3p	49	1896	1896	72.91	55.81	6:hsa;hsa-mir-30c-2,71377006,71377027,-	72.90988864591148	55.810189545356245
hsa-miR-1843	67	1895	1895	72.87	55.78	1:hsa;hsa-mir-1843,175968390,175968409,-	72.87143406329233	55.780753791376625
hsa-miR-345-5p	60	1888	1888	72.6	55.57	14:hsa;hsa-mir-345,100307876,100307897,+	72.60225198495826	55.5747035135193
hsa-miR-17-5p	47	1880	1862.83	72.29	55.34	13:hsa;hsa-mir-17,91350618,91350640,+	71.63447832237628	54.833903705032235
hsa-miR-409-5p	65	1851	1851	71.18	54.49	14:hsa;hsa-mir-409,101065314,101065336,+	71.17943242804965	54.485580616273424
hsa-miR-664a-3p	51	1849	1849	71.1	54.43	1:hsa;hsa-mir-664a,220200586,220200608,-	71.10252326281135	54.426709108314185
hsa-miR-136-5p	53	1777	1777	68.33	52.31	14:hsa;hsa-mir-136,100884716,100884738,+	68.33379331423244	52.30733482178167
hsa-miR-664a-5p	43	1667	1667	64.1	49.07	1:hsa;hsa-mir-664a,220200548,220200571,-	64.10378922612576	49.06940188402366
hsa-miR-183-5p	53	1658	1658	63.76	48.8	7:hsa;hsa-mir-183,129774931,129774952,-	63.75769798255339	48.804480098207094
hsa-miR-935	59	1655	1655	63.64	48.72	19:hsa;hsa-mir-935,53982362,53982384,+	63.64233423469593	48.71617283626824
hsa-miR-487a-3p	44	1641	1640.5	63.1	48.3	14:hsa;hsa-mir-487a,101052494,101052515,+	63.08474278671824	48.28935440356378
hsa-miR-374b-3p	29	1577	1577	60.64	46.42	X:hsa;hsa-mir-374b,74218587,74218608,-	60.642876790402106	46.42018402585801
hsa-miR-212-3p	62	1570	1570	60.37	46.21	17:hsa;hsa-mir-212,2050341,2050361,-	60.373694712068044	46.21413374800069
hsa-miR-455-3p	45	1549	1549	59.57	45.6	9:hsa;hsa-mir-455,114209487,114209507,+	59.56614847706586	45.5959829144287
hsa-miR-339-3p	56	1535	1535	59.03	45.18	7:hsa;hsa-mir-339,1022982,1023004,-	59.027784320397735	45.18388235871405
hsa-miR-493-5p	29	1512	1512	58.14	44.51	14:hsa;hsa-mir-493,100869075,100869096,+	58.14332892015725	44.50686001718283
hsa-miR-497-5p	48	1505	1505	57.87	44.3	17:hsa;hsa-mir-497,7017934,7017954,-	57.87414684182319	44.3008097393255
hsa-miR-376a-3p	35	1470	734.33	56.53	43.27	14:hsa;hsa-mir-376a-1,101040825,101040845,+	28.238481836663677	21.61565533903302
hsa-miR-376a-3p	35	1470	734.33	56.53	43.27	14:hsa;hsa-mir-376a-2,101040118,101040138,+	28.238481836663677	21.61565533903302
hsa-miR-671-3p	49	1409	1409	54.18	41.47	7:hsa;hsa-mir-671,151238488,151238508,+	54.18250691038463	41.47497735728215
hsa-miR-193a-5p	46	1372	1372	52.76	40.39	17:hsa;hsa-mir-193a,31560016,31560037,+	52.759687353476025	40.38585446003627
hsa-miR-29b-2-5p	45	1347	1347	51.8	39.65	1:hsa;hsa-mir-29b-2,207802453,207802474,-	51.798322787997236	39.64996061054581
hsa-miR-142-5p	33	1328	1328	51.07	39.09	17:hsa;hsa-mir-142,58331247,58331267,-	51.067685718233356	39.09068128493307
hsa-miR-425-3p	47	1321	1321	50.8	38.88	3:hsa;hsa-mir-425,49020202,49020223,-	50.798503639899295	38.88463100707574
hsa-miR-98-3p	32	1259	1259	48.41	37.06	X:hsa;hsa-mir-98,53556302,53556323,-	48.41431951751189	37.05961426033941
hsa-miR-320d	26	1240	319.45	47.68	36.5	13:hsa;hsa-mir-320d-1,40727857,40727875,-	12.284179079892919	9.403146481096273
hsa-miR-381-3p	29	1218	1218	46.84	35.85	14:hsa;hsa-mir-381,101045968,101045989,+	46.837681630126674	35.85274834717506
hsa-miR-192-5p	52	1208	1208	46.45	35.56	11:hsa;hsa-mir-192,64891160,64891180,-	46.45313580393516	35.55839080737887
hsa-miR-708-3p	26	1199	1199	46.11	35.29	11:hsa;hsa-mir-708,79402078,79402099,-	46.107044560362795	35.29346902156231
hsa-miR-23b-5p	44	1196	1196	45.99	35.21	9:hsa;hsa-mir-23b,95085227,95085248,+	45.99168081250534	35.20516175962346
hsa-miR-10a-5p	65	1195	1191	45.95	35.18	17:hsa;hsa-mir-10a,48579859,48579881,-	45.79940789940958	35.05798298972536
hsa-miR-124-5p	35	1180	393.33	45.38	34.73	20:hsa;hsa-mir-124-3,63178514,63178535,+	15.125469163532962	11.57806323198318
hsa-miR-124-5p	35	1180	393.33	45.38	34.73	8:hsa;hsa-mir-124-2,64379173,64379194,+	15.125469163532962	11.57806323198318
hsa-miR-124-5p	35	1180	393.33	45.38	34.73	8:hsa;hsa-mir-124-1,9903401,9903422,-	15.125469163532962	11.57806323198318
hsa-miR-320d	17	1174	254.45	45.15	34.56	X:hsa;hsa-mir-320d-2,140926201,140926219,-	9.784631209648062	7.489822472421086
hsa-miR-29c-5p	38	1142	1142	43.92	33.62	1:hsa;hsa-mir-29c,207801867,207801888,-	43.915133351071155	33.61563104472407
hsa-miR-582-5p	26	1126	1126	43.3	33.14	5:hsa;hsa-mir-582,59703621,59703643,-	43.299860029164726	33.14465898105018
hsa-miR-2110	33	1122	1122	43.15	33.03	10:hsa;hsa-mir-2110,114174112,114174133,-	43.14604169868812	33.0269159651317
hsa-miR-1271-5p	28	1106	1106	42.53	32.56	5:hsa;hsa-mir-1271,176367960,176367981,+	42.530768376781694	32.55594390145781
hsa-miR-582-3p	35	1099	1099	42.26	32.35	5:hsa;hsa-mir-582,59703658,59703679,-	42.26158629844763	32.34989362360048
hsa-miR-654-5p	32	1097	1097	42.18	32.29	14:hsa;hsa-mir-654,101040234,101040255,+	42.18467713320933	32.29102211564125
hsa-miR-1298-3p	32	1073	1073	41.26	31.58	X:hsa;hsa-mir-1298,114715304,114715324,+	41.26176715034969	31.584564020130408
hsa-miR-1306-5p	40	1069	1069	41.11	31.47	22:hsa;hsa-mir-1306,20086072,20086093,+	41.10794881987308	31.466821004211933
hsa-miR-24-1-5p	33	1065	1065	40.95	31.35	9:hsa;hsa-mir-24-1,95086027,95086048,+	40.954130489396476	31.349077988293462
hsa-miR-450b-5p	18	1048	1048	40.3	30.85	X:hsa;hsa-mir-450b,134540195,134540216,-	40.3004025848709	30.84867017063995
hsa-miR-424-5p	27	1040	1040	39.99	30.61	X:hsa;hsa-mir-424,134546624,134546645,-	39.99276592391769	30.613184138803003
hsa-miR-6511b-3p	30	1038	352.5	39.92	30.55	16:hsa;hsa-mir-6511b-1,2106721,2106743,-	13.555240373250946	10.37610327781544
hsa-miR-6511b-3p	30	1038	352.5	39.92	30.55	16:hsa;hsa-mir-6511b-1,15134118,15134140,-	13.555240373250946	10.37610327781544
hsa-miR-3605-3p	42	1035	1035	39.8	30.47	1:hsa;hsa-mir-3605,33332458,33332480,-	39.80049301082193	30.466005368904913
hsa-miR-380-3p	17	1034	1034	39.76	30.44	14:hsa;hsa-mir-380,101025056,101025077,+	39.76203842820278	30.436569614925293
hsa-miR-377-5p	26	1023	1023	39.34	30.11	14:hsa;hsa-mir-377,101062056,101062077,+	39.339038019392106	30.112776321149493
hsa-miR-27b-5p	37	991	991	38.11	29.17	9:hsa;hsa-mir-27b,95085463,95085484,+	38.108491375579256	29.170832193801708
hsa-miR-885-3p	28	983	983	37.8	28.94	3:hsa;hsa-mir-885,10394531,10394552,-	37.80085471462604	28.935346161964763
hsa-miR-154-3p	24	978	978	37.61	28.79	14:hsa;hsa-mir-154,101059805,101059826,+	37.608581801530285	28.788167392066672
hsa-miR-146b-3p	34	967	967	37.19	28.46	10:hsa;hsa-mir-146b,102436557,102436578,+	37.18558139271962	28.46437409829087
hsa-miR-590-3p	14	939	939	36.11	27.64	7:hsa;hsa-mir-590,74191253,74191273,+	36.10885307938337	27.640172986861558
hsa-miR-876-3p	26	936	936	35.99	27.55	9:hsa;hsa-mir-876,28863675,28863696,-	35.993489331525915	27.551865724922703
hsa-miR-194-5p	18	934	738	35.92	27.49	11:hsa;hsa-mir-194-2,64891369,64891390,-	28.379481972933895	21.723586436958286
hsa-miR-1296-5p	34	922	922	35.46	27.14	10:hsa;hsa-mir-1296,63372972,63372993,-	35.4551251748578	27.139765169208047
hsa-miR-629-5p	29	905	905	34.8	26.64	15:hsa;hsa-mir-629,70079393,70079413,-	34.80139727033222	26.639357351554537
hsa-miR-3059-5p	34	894	894	34.38	26.32	12:hsa;hsa-mir-3059,86745081,86745104,-	34.37839686152155	26.315564057778737
hsa-miR-342-5p	42	877	877	33.72	25.82	14:hsa;hsa-mir-342,100109673,100109693,+	33.72466895699597	25.815156240125226
hsa-miR-671-5p	28	848	848	32.61	24.96	7:hsa;hsa-mir-671,151238449,151238471,+	32.60948606104058	24.961519374716296
hsa-miR-7-1-3p	26	847	847	32.57	24.93	9:hsa;hsa-mir-7-1,83969813,83969834,-	32.571031478421425	24.932083620736677
hsa-miR-379-3p	34	846	845	32.53	24.9	14:hsa;hsa-mir-379,101022109,101022130,+	32.49412231318312	24.87321211277744
hsa-miR-362-5p	28	827	827	31.8	24.34	X:hsa;hsa-mir-362,50008968,50008991,+	31.801939826038392	24.34336854114431
hsa-miR-32-5p	22	804	804	30.92	23.67	9:hsa;hsa-mir-32,109046234,109046255,-	30.917484425797905	23.66634619961309
hsa-miR-1247-5p	20	802	802	30.84	23.61	14:hsa;hsa-mir-1247,101560326,101560347,-	30.8405752605596	23.607474691653856
hsa-miR-190a-5p	16	794	794	30.53	23.37	15:hsa;hsa-mir-190a,62823971,62823992,+	30.53293859960639	23.37198865981691
hsa-miR-135a-2-3p	25	787	787	30.26	23.17	12:hsa;hsa-mir-135a-2,97563872,97563893,+	30.263756521272327	23.16593838195958
hsa-miR-12136	8	753	376.5	28.96	22.17	MT:hsa;hsa-mir-12136,7444,7461,-	14.478150356110586	11.08256137332628
hsa-miR-12136	8	753	376.5	28.96	22.17	1:hsa;hsa-mir-12136,632615,632632,-	14.478150356110586	11.08256137332628
hsa-miR-184	19	722	722	27.76	21.25	15:hsa;hsa-mir-184,79209840,79209861,+	27.76420865102747	21.252614373284395
hsa-miR-1307-3p	20	720	720	27.69	21.19	10:hsa;hsa-mir-1307,103394332,103394353,-	27.68729948578917	21.193742865325156
hsa-miR-431-3p	29	718	718	27.61	21.13	14:hsa;hsa-mir-431,100881069,100881090,+	27.610390320550863	21.13487135736592
hsa-miR-105-5p	24	701	350.5	26.96	20.63	X:hsa;hsa-mir-105-2,152394424,152394446,-	13.478331208012643	10.317231769856205
hsa-miR-105-5p	24	701	350.5	26.96	20.63	X:hsa;hsa-mir-105-1,152392231,152392253,-	13.478331208012643	10.317231769856205
hsa-miR-940	18	693	693	26.65	20.4	16:hsa;hsa-mir-940,2271806,2271826,+	26.649025755072074	20.398977507875465
hsa-miR-1250-5p	21	691	691	26.57	20.34	17:hsa;hsa-mir-1250,81133219,81133239,-	26.57211658983377	20.340105999916226
hsa-miR-138-2-3p	26	688	688	26.46	20.25	16:hsa;hsa-mir-138-2,56858574,56858595,+	26.456752841976314	20.25179873797737
hsa-miR-3173-5p	26	683	683	26.26	20.1	14:hsa;hsa-mir-3173,95137923,95137944,-	26.264479928880558	20.10461996807928
hsa-miR-133a-3p	26	677	338.5	26.03	19.93	20:hsa;hsa-mir-133a-2,62564970,62564991,+	13.016876216582824	9.964002722100785
hsa-miR-133a-3p	26	677	338.5	26.03	19.93	18:hsa;hsa-mir-133a-1,21825750,21825771,-	13.016876216582824	9.964002722100785
hsa-miR-331-5p	34	672	672	25.84	19.78	12:hsa;hsa-mir-331,95308445,95308466,+	25.84147952006989	19.78082667430348
hsa-let-7i-3p	13	671	671	25.8	19.75	12:hsa;hsa-let-7i,62603747,62603768,+	25.803024937450736	19.75139092032386
hsa-miR-26a-2-3p	27	670	670	25.76	19.72	12:hsa;hsa-mir-26a-2,57824660,57824681,-	25.764570354831587	19.721955166344245
hsa-miR-502-3p	24	668	544.83	25.69	19.66	X:hsa;hsa-mir-502,50014649,50014670,+	20.951338430334438	16.037579959895353
hsa-miR-6511b-3p	17	666	166.5	25.61	19.6	16:hsa;hsa-mir-6511b-2,2106725,2106747,-	6.402688006088745	4.9010530376064425
hsa-miR-6511b-3p	17	666	166.5	25.61	19.6	16:hsa;hsa-mir-6511b-2,15134122,15134144,-	6.402688006088745	4.9010530376064425
hsa-miR-433-5p	23	662	662	25.46	19.49	14:hsa;hsa-mir-433,100881897,100881918,+	25.456933693878373	19.486469134507296
hsa-miR-130b-3p	24	662	662	25.46	19.49	22:hsa;hsa-mir-130b,21653354,21653375,+	25.456933693878373	19.486469134507296
hsa-miR-877-5p	24	651	651	25.03	19.16	6:hsa;hsa-mir-877,30584332,30584351,+	25.033933285067704	19.162675840731495
hsa-miR-326	21	651	651	25.03	19.16	11:hsa;hsa-mir-326,75335151,75335170,-	25.033933285067704	19.162675840731495
hsa-miR-219a-5p	20	650	472	25	19.13	9:hsa;hsa-mir-219a-2,128392636,128392656,-	18.150562996239564	13.893675878379826
hsa-miR-142-3p	27	649	649	24.96	19.1	17:hsa;hsa-mir-142,58331283,58331305,-	24.957024119829402	19.10380433277226
hsa-miR-660-5p	19	640	640	24.61	18.84	X:hsa;hsa-mir-660,50013256,50013277,+	24.61093287625704	18.838882546955695
hsa-miR-323a-5p	21	624	624	24	18.37	14:hsa;hsa-mir-323a,101025747,101025768,+	23.995659554350613	18.367910483281804
hsa-miR-34b-3p	28	623	623	23.96	18.34	11:hsa;hsa-mir-34b,111512987,111513008,+	23.95720497173146	18.338474729302185
hsa-miR-214-3p	25	622	622	23.92	18.31	1:hsa;hsa-mir-214,172138868,172138889,-	23.918750389112308	18.309038975322565
hsa-miR-191-3p	29	621	621	23.88	18.28	3:hsa;hsa-mir-191,49020675,49020696,-	23.880295806493155	18.27960322134295
hsa-miR-592	18	596	596	22.92	17.54	7:hsa;hsa-mir-592,127058103,127058124,-	22.918931241014366	17.54370937185249
hsa-miR-130a-3p	17	595	595	22.88	17.51	11:hsa;hsa-mir-130a,57641252,57641273,+	22.880476658395214	17.514273617872874
hsa-miR-503-5p	23	577	577	22.19	16.98	X:hsa;hsa-mir-503,134546333,134546355,-	22.188294171250487	16.984430046239744
hsa-miR-329-5p	14	571	285.5	21.96	16.81	14:hsa;hsa-mir-329-2,101027114,101027136,+	10.978783337767789	8.403907761181017
hsa-miR-329-5p	14	571	285.5	21.96	16.81	14:hsa;hsa-mir-329-1,101026797,101026819,+	10.978783337767789	8.403907761181017
hsa-miR-181c-3p	25	563	543.5	21.65	16.57	19:hsa;hsa-mir-181c,13874763,13874784,+	20.900065653508907	15.998332287922532
hsa-miR-16-2-3p	26	563	563	21.65	16.57	3:hsa;hsa-mir-16-2,160404797,160404818,+	21.649930014582363	16.57232949052509
hsa-miR-125a-3p	15	557	557	21.42	16.4	19:hsa;hsa-mir-125a,51693306,51693327,+	21.419202518867454	16.39571496664738
hsa-miR-337-3p	23	553	553	21.27	16.28	14:hsa;hsa-mir-337,100874553,100874574,+	21.265384188390847	16.277971950728904
hsa-miR-200b-3p	27	552	552	21.23	16.25	1:hsa;hsa-mir-200b,1167160,1167181,+	21.226929605771694	16.24853619674929
hsa-miR-19b-3p	14	548	273.83	21.07	16.13	X:hsa;hsa-mir-19b-2,134169732,134169754,-	10.53014654054435	8.060490631418803
hsa-miR-19b-3p	14	548	273.83	21.07	16.13	13:hsa;hsa-mir-19b-1,91351245,91351267,+	10.53014654054435	8.060490631418803
hsa-miR-1468-5p	17	540	540	20.77	15.9	X:hsa;hsa-mir-1468,63786014,63786034,-	20.765474614341876	15.895307148993867
hsa-miR-34c-5p	12	536	536	20.61	15.78	11:hsa;hsa-mir-34c,111513451,111513473,+	20.61165628386527	15.777564133075394
hsa-miR-491-5p	28	535	535	20.57	15.75	9:hsa;hsa-mir-491,20716120,20716141,+	20.573201701246116	15.748128379095776
hsa-miR-542-3p	26	528	528	20.3	15.54	X:hsa;hsa-mir-542,134541393,134541414,-	20.304019622912055	15.542078101238449
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-1,16324631,16324652,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-1,14925980,14926001,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-1,16368919,16368940,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-3,14925980,14926001,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-3,16368919,16368940,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-4,16368919,16368940,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-2,16324631,16324652,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-4,14925980,14926001,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-2,16368919,16368940,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-4,18344056,18344077,-	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-3,18344056,18344077,-	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-2,18344056,18344077,-	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-2,14925980,14926001,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-4,16324631,16324652,+	1.2665978150183066	0.9695401467036768
hsa-miR-6511a-3p	26	527	32.94	20.27	15.51	16:hsa;hsa-mir-6511a-3,16324631,16324652,+	1.2665978150183066	0.9695401467036768
